547 SERANGOON NTH AVE 3,1.3662874,103.8725945
115 LOR 1 TOA PAYOH,1.3407036,103.8445869
205B COMPASSVALE LANE,1.3855339,103.8967048
716 WOODLANDS DR 70,1.4415313,103.7998237
87 REDHILL CL,1.2861188,103.8190449
448 YISHUN RING RD,1.422484,103.844908
577 WOODLANDS DR 16,1.4310012,103.7964959
685A JURONG WEST ST 64,1.3430949,103.7040646
403 SIN MING AVE,1.362902,103.8334617
158 ANG MO KIO AVE 4,1.374781,103.8390189
19 DOVER CRES,1.3078208,103.7836383
309 CANBERRA RD,1.4467567,103.8213318
18 BEDOK STH RD,1.3205036,103.9347465
145 BISHAN ST 11,1.3448753,103.8543476
322 JURONG EAST ST 31,1.3481124,103.7291459
148 SILAT AVE,1.2769877,103.8309096
658 YISHUN AVE 4,1.4219519,103.8394465
528 BEDOK NTH ST 3,1.3348078,103.9276769
746 PASIR RIS ST 71,1.3787828,103.9353134
55 PIPIT RD,1.3237647,103.8884362
4B ST. GEORGE'S LANE,1.3222424,103.8602587
214 YISHUN ST 21,1.43153,103.836136
835 WOODLANDS ST 83,1.4404295,103.7911129
471A FERNVALE ST,1.3959316,103.8805607
533 BEDOK NTH ST 3,1.3335837,103.9242327
107 TAMPINES ST 11,1.3483749,103.948072
202A COMPASSVALE DR,1.3886777,103.8932291
918 HOUGANG AVE 9,1.3756476,103.8835659
544 SERANGOON NTH AVE 3,1.3702886,103.8716082
336 HOUGANG AVE 7,1.3693517,103.8983586
743 WOODLANDS CIRCLE,1.4437186,103.7962922
558 CHOA CHU KANG NTH 6,1.3963312,103.7474905
523 JELAPANG RD,1.387464,103.7656638
636A PUNGGOL DR,1.4002679,103.9139432
447 CHOA CHU KANG AVE 4,1.3806151,103.7374923
164 TAMPINES ST 12,1.3494388,103.9469763
161 YUNG PING RD,1.329739,103.7214675
471A UPP SERANGOON CRES,1.378151,103.9020772
10 JLN BATU,1.3020705,103.882909
619A PUNGGOL DR,1.4027521,103.9114927
207 JURONG EAST ST 21,1.3377806,103.7426294
338 CLEMENTI AVE 2,1.3163094,103.7695424
486 JURONG WEST AVE 1,1.3487264,103.7263386
21 GHIM MOH RD,1.3106477,103.7884371
185C RIVERVALE CRES,1.3931449,103.906419
442 JURONG WEST AVE 1,1.351535,103.7195532
446 HOUGANG AVE 8,1.3787918,103.8942552
617 JURONG WEST ST 65,1.3410919,103.700369
284 CHOA CHU KANG AVE 3,1.3797981,103.7424026
132 CASHEW RD,1.3743916,103.7705103
274D PUNGGOL PL,1.4031476,103.9018475
938 JURONG WEST ST 91,1.3429826,103.6898694
746 YISHUN ST 72,1.42894,103.8334457
171 LOR 1 TOA PAYOH,1.3307572,103.8426885
227 PENDING RD,1.3749364,103.7715505
172 ANG MO KIO AVE 4,1.3746617,103.8366159
238 HOUGANG AVE 1,1.357124,103.8890965
237 LOR 1 TOA PAYOH,1.3399788,103.8517637
126 PASIR RIS ST 11,1.3657755,103.9553085
657 YISHUN AVE 4,1.4222826,103.8393559
570 PASIR RIS ST 53,1.3728386,103.9464403
236A SERANGOON AVE 2,1.3540324,103.8693016
50 CIRCUIT RD,1.3248788,103.8855366
405 CHOA CHU KANG AVE 3,1.3801448,103.7395515
439 FAJAR RD,1.3831285,103.7704263
183 BT BATOK WEST AVE 8,1.3463279,103.743333
652 SENJA LINK,1.3873342,103.76363
35 BEDOK STH AVE 2,1.3223734,103.9398229
248 HOUGANG AVE 3,1.359343,103.8925551
305 CLEMENTI AVE 4,1.321972,103.7659837
411 HOUGANG AVE 10,1.3740168,103.8944569
472 PASIR RIS DR 6,1.3741653,103.9573188
22 MARSILING DR,1.4421089,103.7746296
64 KALLANG BAHRU,1.3203667,103.8684124
25 TELOK BLANGAH CRES,1.2764001,103.8192299
246 SERANGOON AVE 3,1.3519807,103.8695904
